Indice;Codigo;Urls;Area;Habitaciones;Garaje;Ducha;Municipio;Barrio;Precio
0;11161;https://www.abacoarrendamientos.com/inmueble/11161/Arriendo/;15m2;0;0;1;Envigado;Obrero;1000000
1;11208;https://www.abacoarrendamientos.com/inmueble/11208/Arriendo/;35m2;1;0;1;Envigado;El Dorado;1200000
2;11238;https://www.abacoarrendamientos.com/inmueble/11238/Arriendo/;40m2;1;0;1;Envigado;Alcala;1200000
3;10233;https://www.abacoarrendamientos.com/inmueble/10233/Arriendo/;50m2;2;0;2;Envigado;Primavera;1300000
4;10631;https://www.abacoarrendamientos.com/inmueble/10631/Arriendo/;45m2;2;0;1;Envigado;Alto De Misael;1300000
5;4650;https://www.abacoarrendamientos.com/inmueble/4650/Arriendo/;70m2;2;0;2;Envigado;Alto De Las Flores;1300000
6;4895;https://www.abacoarrendamientos.com/inmueble/4895/Arriendo/;55m2;3;1;2;Envigado;La Mina;1400000
7;10599;https://www.abacoarrendamientos.com/inmueble/10599/Arriendo/;55m2;3;0;2;Envigado;La Mina;1450000
8;11195;https://www.abacoarrendamientos.com/inmueble/11195/Arriendo/;40m2;2;0;1;Envigado;Mesa;1500000
9;11223;https://www.abacoarrendamientos.com/inmueble/11223/Arriendo/;75m2;3;0;1;Envigado;Mesa;1500000
10;11121;https://www.abacoarrendamientos.com/inmueble/11121/Arriendo/;45m2;2;0;1;Envigado;Guanteros;1500000
11;3773;https://www.abacoarrendamientos.com/inmueble/3773/Arriendo/;60m2;2;0;1;Envigado;Los Naranjos;1600000
12;4162;https://www.abacoarrendamientos.com/inmueble/4162/Arriendo/;60m2;2;1;2;Envigado;Camino Verde;1600000
13;11218;https://www.abacoarrendamientos.com/inmueble/11218/Arriendo/;55m2;3;0;2;Envigado;La Mina;1600000
14;10837;https://www.abacoarrendamientos.com/inmueble/10837/Arriendo/;70m2;2;0;2;Envigado;El Dorado;1700000
15;11034;https://www.abacoarrendamientos.com/inmueble/11034/Arriendo/;65m2;2;1;2;Envigado;El Salado;1730000
16;10649;https://www.abacoarrendamientos.com/inmueble/10649/Arriendo/;84m2;3;0;2;Envigado;Trianon;1750000
17;11236;https://www.abacoarrendamientos.com/inmueble/11236/Arriendo/;75m2;3;0;2;Envigado;Trianon;1800000
18;11235;https://www.abacoarrendamientos.com/inmueble/11235/Arriendo/;68m2;2;1;2;Envigado;Camino Verde;2000000
19;11214;https://www.abacoarrendamientos.com/inmueble/11214/Arriendo/;110m2;3;0;3;Envigado;Envigado Centro;2000000
20;11221;https://www.abacoarrendamientos.com/inmueble/11221/Arriendo/;140m2;4;0;2;Envigado;San Jose;2000000
21;7941;https://www.abacoarrendamientos.com/inmueble/7941/Arriendo/;80m2;3;0;2;Envigado;Jardines;2100000
22;11201;https://www.abacoarrendamientos.com/inmueble/11201/Arriendo/;72m2;4;1;2;Envigado;Santa Barbara;2100000
23;11210;https://www.abacoarrendamientos.com/inmueble/11210/Arriendo/;80m2;3;0;2;Envigado;El Dorado;2300000
24;11210;https://www.abacoarrendamientos.com/inmueble/11210/Arriendo/;80m2;3;0;2;Envigado;El Dorado;2300000
25;11222;https://www.abacoarrendamientos.com/inmueble/11222/Arriendo/;80m2;2;1;2;Envigado;El Salado;2300000
26;11186;https://www.abacoarrendamientos.com/inmueble/11186/Arriendo/;86m2;3;1;2;Envigado;Trianon;2500000
27;5412;https://www.abacoarrendamientos.com/inmueble/5412/Arriendo/;84m2;3;0;2;Envigado;Trianon;2500000
28;11220;https://www.abacoarrendamientos.com/inmueble/11220/Arriendo/;70m2;2;1;2;Envigado;San Marcos;2500000
29;9117;https://www.abacoarrendamientos.com/inmueble/9117/Arriendo/;81m2;2;1;2;Envigado;El Portal;2500000
30;11108;https://www.abacoarrendamientos.com/inmueble/11108/Arriendo/;110m2;4;1;2;Envigado;Las Flores;2500000
31;5741;https://www.abacoarrendamientos.com/inmueble/5741/Arriendo/;87m2;3;1;2;Envigado;Mesa;2500000
32;2813;https://www.abacoarrendamientos.com/inmueble/2813/Arriendo/;145m2;4;0;2;Envigado;Obrero;2600000
33;11156;https://www.abacoarrendamientos.com/inmueble/11156/Arriendo/;75m2;3;1;2;Envigado;Milan;2700000
34;11207;https://www.abacoarrendamientos.com/inmueble/11207/Arriendo/;105m2;3;1;2;Envigado;El Portal;2800000
35;7233;https://www.abacoarrendamientos.com/inmueble/7233/Arriendo/;110m2;5;0;2;Envigado;Alcala;2800000
36;7233;https://www.abacoarrendamientos.com/inmueble/7233/Arriendo/;110m2;5;0;2;Envigado;Alcala;2800000
37;11209;https://www.abacoarrendamientos.com/inmueble/11209/Arriendo/;150m2;3;0;2;Envigado;El Dorado;3000000
38;11164;https://www.abacoarrendamientos.com/inmueble/11164/Arriendo/;70m2;3;0;2;Envigado;Chingui;3000000
39;11200;https://www.abacoarrendamientos.com/inmueble/11200/Arriendo/;75m2;2;0;2;Envigado;El Salado;3000000
40;11211;https://www.abacoarrendamientos.com/inmueble/11211/Arriendo/;80m2;3;0;2;Envigado;San Marcos;3050000
41;9821;https://www.abacoarrendamientos.com/inmueble/9821/Arriendo/;173m2;4;2;3;Envigado;Mesa;3300000
42;11150;https://www.abacoarrendamientos.com/inmueble/11150/Arriendo/;180m2;3;0;2;Envigado;Bucarest;3500000
43;11202;https://www.abacoarrendamientos.com/inmueble/11202/Arriendo/;105m2;3;1;2;Envigado;Zuñiga;3700000
44;10915;https://www.abacoarrendamientos.com/inmueble/10915/Arriendo/;160m2;6;0;2;Envigado;Trianon;3800000
45;11157;https://www.abacoarrendamientos.com/inmueble/11157/Arriendo/;85m2;2;0;2;Envigado;Loma Del Escobero;4000000
46;11154;https://www.abacoarrendamientos.com/inmueble/11154/Arriendo/;83m2;2;1;2;Envigado;Loma Del Escobero;4000000
47;3557;https://www.abacoarrendamientos.com/inmueble/3557/Arriendo/;140m2;5;0;2;Envigado;Envigado Centro;4000000
48;3557;https://www.abacoarrendamientos.com/inmueble/3557/Arriendo/;140m2;5;0;2;Envigado;Envigado Centro;4000000
49;11111;https://www.abacoarrendamientos.com/inmueble/11111/Arriendo/;87m2;2;0;3;Envigado;Loma Del Escobero;4200000
50;11033;https://www.abacoarrendamientos.com/inmueble/11033/Arriendo/;124m2;4;0;3;Envigado;Otra Parte;4500000
51;8991;https://www.abacoarrendamientos.com/inmueble/8991/Arriendo/;350m2;6;0;5;Envigado;San Marcos;5000000
52;11119;https://www.abacoarrendamientos.com/inmueble/11119/Arriendo/;150m2;2;0;2;Envigado;Loma De Las Brujas;5300000
53;11151;https://www.abacoarrendamientos.com/inmueble/11151/Arriendo/;100m2;3;0;2;Envigado;Loma Del Escobero;5500000
54;11158;https://www.abacoarrendamientos.com/inmueble/11158/Arriendo/;100m2;3;0;2;Envigado;Loma Del Escobero;5500000
55;11204;https://www.abacoarrendamientos.com/inmueble/11204/Arriendo/;116m2;3;0;4;Envigado;Loma Del Esmeraldal;6500000
